merchant-combined-product-offer,Produktangebot
"CSV template Product Offer","CSV-Vorlage Angebot"
"Offers can only be updated by the merchants who own them.","Angebote können nur von den Händlern aktualisiert werden, die sie besitzen."
"Store ""%store%"" is not supported.","Store ""%store%"" wird nicht unterstützt."
"Price type ""%priceType%"" is not supported.","Preistyp ""%priceType%"" wird nicht unterstützt."
"Currency ""%currency%"" is not supported.","Währung ""%currency%"" wird nicht unterstützt."
"Currency ""%currency%"" is not supported by ""%store%"" store.","Währung ""%currency%"" wird vom Store ""%store%"" nicht unterstützt."
"Warehouses can only be accessed by the merchants who own them.","Lager können nur von den Händlern zugegriffen werden, denen sie gehören."
"Quantity is required for new product offer.","Für das Angebot eines neuen Produkts ist eine bestimmte Menge erforderlich."
"Stock quantity must be numeric.","Bestandsmenge muss numerisch sein."
"Stock quantity must be positive.","Bestandsmenge muss positiv sein."
"Store ""%store%"" not found.","Store ""%store%"" nicht gefunden."
"Store relations are required for new product offers.","Store-Beziehungen sind für neue Produktangebote erforderlich."
"Cannot determine if the product offer is new.","Kann nicht bestimmen, ob das Angebot neu ist."
"Product not found.","Produkt nicht gefunden."
"Product with SKU ""%sku%"" not found.","Produkt mit SKU ""%sku%"" nicht gefunden."
"Invalid date format of validity start date.","Ungültiges Datumsformat des Gültigkeitsstartdatums."
"Invalid date format of validity end date.","Ungültiges Datumsformat des Gültigkeitsenddatums."
"The required field ""%field%"" is missing.","Das erforderliche Feld ""%field%"" fehlt."
"Merchant not found.","Händler nicht gefunden."
"Product offer not found","Produktangebot nicht gefunden"
"Invalid price data key ""%key%"".","Ungültiger Preisdatenschlüssel ""%key%""."
"Invalid stock data key ""%key%"".","Ungültiger Bestandsdatenschlüssel ""%key%""."
"The SKU cannot be changed for existing product offers.","Die SKU kann für bestehende Angebote nicht geändert werden."
"The data set must contain both net and gross prices for product offer.","Der Datensatz muss sowohl Netto- als auch Bruttopreise für das Angebot enthalten."
