"Back to Packaging Types","Zurück zu Verpackungsarten"
"Create Packaging Type","Verpackungsart erstellen"
"Edit Packaging Type","Verpackungsart bearbeiten"
Key,Key
"List of Packaging Types","Liste der Verpackungsarten"
"Overview of Packaging Types","Übersicht der Verpackungsarten"
"Packaging Type details","Details der Verpackungsart"
"Product packaging type ""%s"" successfully deleted.","Produktverpackungsart ""%s"" erfolgreich gelöscht."
"Product packaging type ""%s"" successfully updated.","Produktverpackungsart ""%s"" erfolgreich aktualisiert."
"Product packaging unit type ""%s"" has not been deleted.","Verpackungseinheit ""%s"" des Produkts wurde nicht gelöscht."
"Product packaging unit type ""%s"" has not been updated.","Verpackungseinheit ""%s"" des Produkts wurde nicht aktualisiert."
"Product packaging unit type created successfully.","Verpackungseinheit ""%s"" des Produkts erfolgreich erstellt."
"Product packaging unit type has not been created.","Verpackungseinheit ""%s"" des Produkts wurde nicht erstellt."
Save,Speichern
Translations,Übersetzungen
