"Add Merchant relation","Verkäuferbeziehung hinzufügen"
"Assigned Business Units","Zugewiesene Geschäftseinheiten"
"Back to Merchant relations","Zurück zu Handelsbeziehungen"
"Business Unit Owner","Inhaber der Geschäftseinheit"
Company,Firma
Confirm,bestätigt
"Create Merchant Relation","Verkäuferbeziehung erstellen"
"Edit Merchant Relation","Verkäuferbeziehung bearbeiten"
"Edit Merchant Relation:","Verkäuferbeziehung bearbeiten:"
ID,ID:
"List of Merchant relation","Liste der Verkäuferbeziehungen"
Merchant,Verkäufer
"Merchant Name",Verkäufername
"Merchant relation created successfully.","Verkäuferbeziehung erfolgreich erstellt."
"Merchant relation deleted successfully.","Verkäuferbeziehung erfolgreich gelöscht."
"Merchant relation has not been created.","Verkäuferbeziehung wurde nicht erstellt."
"Merchant relation is not found.","Verkäuferbeziehung wurde nicht gefunden."
"Merchant relation updated successfully.","Verkäuferbeziehung erfolgreich aktualisiert."
"Merchant Relations",Verkäuferbeziehungen
"Merchant Relation with ID ""%id%"" doesn\'t exist.","Verkäuferbeziehung mit der ID ""%id%"" existiert nicht."
Merchants,Verkäufer
"Overview of Merchant relation","Übersicht der Verkäuferbeziehung"
Save,Speichern
"Select Company","Firma auswählen"
"Select merchant","Verkäufer auswählen"
"Select business unit","Geschäftseinheit auswählen"
"Please select an item in the list","Wählen Sie bitte ein Element aus der Liste aus."
"Delete Merchant Relation","Händlerbeziehung löschen"
"Merchant Relation deletion confirmation","Löschen der Händlerbeziehung bestätigen"
"Are you sure you want to delete this Merchant Relation?","Sind Sie sicher, dass Sie diese Händlerbeziehung löschen möchten?"
Cancel,Abbrechen
