"Addition to address","Zusatz zur Adresse"
"Average Delivery Time","Durchschnittliche Lieferzeit"
"Banner URL","Banner URL"
"Banner url","Banner url"
"Cancellation Policy",Widerrufsbelehrung
City,Stadt
"Contact Person",Kontaktperson
Country,Land
"Data Privacy",Datenschutz
Description,Beschreibung
"Fax number",Faxnummer
"First Name",Vorname
Imprint,Impressum
"Last Name",Nachname
Latitude,Breitengrad
"Legal Information",Rechtsinformation
"Logo URL","Logo URL"
Longitude,Längengrad
"Merchant Profile",Händler-Profil
"Merchant Reference",Händler-Referenznummer
Number,Nummer
Phone,Telefonnummer
"Public Email",Kontakt-E-Mail-Adresse
"Public Phone",Kontakt-Telefonnummer
Role,Rolle
Street,Straße
"Terms and Conditions",AGB
Title,Titel
"Zip Code",Postleitzahl
