"The multi-factor authentication has been activated.","Die Multi-Faktor-Authentifizierung wurde aktiviert."
"The multi-factor authentication has been deactivated.","Die Multi-Faktor-Authentifizierung wurde deaktiviert."
"The multi-factor authentication could not be activated.","Die Multi-Faktor-Authentifizierung konnte nicht aktiviert werden."
"The multi-factor authentication could not be deactivated.","Die Multi-Faktor-Authentifizierung konnte nicht deaktiviert werden."
"Select Authentication Method","Authentifizierungsmethode auswählen"
Continue,Fortfahren
"Enter Authentication Code","Authentifizierungscode eingeben"
"Verify Code","Code überprüfen"
"We sent the authentication code to your %s. Type it below to continue.","Wir haben Ihnen den Authentifizierungscode per %s gesendet. Geben Sie ihn unten ein, um fortzufahren."
"Invalid multi-factor authentication code","Ungültiger Multi-Faktor-Authentifizierungscode"
"Please choose how you would like to verify your identity.","Bitte wählen Sie aus, wie Sie Ihre Identität überprüfen möchten."
"Unable to proceed. A multi-factor authentication method must be selected. Please refresh the page and try again or contact support if the problem persists.","Kann nicht fortgesetzt werden. Es muss eine Multi-Faktor-Authentifizierungsmethode ausgewählt werden. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut oder wenden Sie sich an den Support, wenn das Problem weiterhin besteht."
"Customer has no active multi-factor authentication methods.","Der Kunde hat keine aktiven Multi-Faktor-Authentifizierungsmethoden."
"CSRF token is invalid.","CSRF-Token ist ungültig."
"Are you sure you want to deactivate multi-factor authentication for this customer?","Sie sind sich sicher, dass Sie die Multi-Faktor-Authentifizierung für diesen Kunden deaktivieren möchten?"
"Set up Multi-Factor Authentication","Multi-Faktor-Authentifizierung einrichten"
"Multi-Factor Authentication",Multi-Faktor-Authentifizierung
"Deactivate Multi-Factor Authentication","Multi-Faktor-Authentifizierung deaktivieren"
"Yes, deactivate multi-factor authentication","Ja, Multi-Faktor-Authentifizierung deaktivieren"
"Access is strictly restricted until multi-factor authentication verification is successfully completed. Please ensure that JavaScript is enabled in your browser, refresh the page, and try again. If the problem persists, you may need to complete the multi-factor authentication process again.","Zugriff ist bis zur erfolgreichen Vollziehung der Multi-Faktor-Authentifizierung eingeschränkt. Bitte stellen Sie sicher, dass JavaScript in Ihrem Browser aktiviert ist, die Seite aktualisieren und erneut versuchen. Wenn das Problem weiterhin besteht, sollten Sie die Multi-Faktor-Authentifizierungprozess erneut abschließen."
"Note, any changes made here will also affect how MFA works in other environments like the Back Office, since your accounts are linked.","Hinweis: Alle hier vorgenommenen Änderungen wirken sich auch darauf aus, wie MFA in anderen Umgebungen wie dem Back Office funktioniert, da Ihre Konten verknüpft sind."
"Enter code","Code eingeben"
"Something went wrong while sending your code. Please try again later or contact the system administrator.","Beim Versenden Ihres Codes ist etwas schief gelaufen. Bitte versuchen Sie es erneut oder wenden Sie sich an den Systemadministrator."
