key,name,is_active,status
test-company,Hotel Tommy,true,approved
trial-company,Trial,true,approved
proof-company,Proof,true,approved
BoB-Hotel-Jim,BoB-Hotel Jim,true,approved
BoB-Hotel-Kudamm,BoB-Hotel Ku'damm,true,approved
BoB-Hotel-Mitte,BoB-Hotel Mitte,true,approved
BoB-Regular,BoB-Regular,true,approved
test-company,Test Company,true,approved
Ottom_ltd,Ottom_ltd,true,approved
27_Rif_Group,27_Rif_Group,true,approved
test-company-2,Test Company 2,true,approved
restricted-company-1,Restricted 1,true,approved
restricted-company-2,Restricted 2,true,approved
