product_offer_reference,stock_name,quantity,is_never_out_of_stock
offer1,Spryker MER000001 Warehouse 1,10,1
offer2,Video King MER000002 Warehouse 1,2,0
offer3,Spryker MER000001 Warehouse 1,10,0
offer4,Video King MER000002 Warehouse 1,0,0
offer5,Spryker MER000001 Warehouse 1,10,1
offer6,Video King MER000002 Warehouse 1,10,0
offer8,Video King MER000002 Warehouse 1,0,0
offer9,Video King MER000002 Warehouse 1,0,0
offer10,Video King MER000002 Warehouse 1,0,0
offer11,Video King MER000002 Warehouse 1,0,0
offer12,Video King MER000002 Warehouse 1,0,0
offer13,Video King MER000002 Warehouse 1,0,0
offer14,Video King MER000002 Warehouse 1,0,0
offer15,Video King MER000002 Warehouse 1,0,0
offer16,Video King MER000002 Warehouse 1,0,0
offer17,Video King MER000002 Warehouse 1,0,0
offer18,Video King MER000002 Warehouse 1,0,0
offer19,Video King MER000002 Warehouse 1,0,0
offer20,Video King MER000002 Warehouse 1,0,0
offer21,Video King MER000002 Warehouse 1,0,0
offer22,Video King MER000002 Warehouse 1,0,0
offer23,Video King MER000002 Warehouse 1,0,0
offer24,Video King MER000002 Warehouse 1,0,0
offer25,Video King MER000002 Warehouse 1,0,0
offer26,Video King MER000002 Warehouse 1,0,0
offer27,Video King MER000002 Warehouse 1,0,0
offer28,Video King MER000002 Warehouse 1,0,0
offer29,Video King MER000002 Warehouse 1,0,0
offer30,Video King MER000002 Warehouse 1,0,0
offer31,Video King MER000002 Warehouse 1,0,0
offer32,Video King MER000002 Warehouse 1,0,0
offer33,Video King MER000002 Warehouse 1,0,0
offer34,Video King MER000002 Warehouse 1,0,0
offer35,Video King MER000002 Warehouse 1,0,0
offer36,Video King MER000002 Warehouse 1,0,0
offer37,Video King MER000002 Warehouse 1,0,0
offer38,Video King MER000002 Warehouse 1,0,0
offer39,Video King MER000002 Warehouse 1,0,0
offer40,Video King MER000002 Warehouse 1,0,0
offer41,Video King MER000002 Warehouse 1,0,0
offer42,Video King MER000002 Warehouse 1,0,0
offer43,Video King MER000002 Warehouse 1,0,0
offer44,Video King MER000002 Warehouse 1,0,0
offer45,Video King MER000002 Warehouse 1,0,0
offer46,Video King MER000002 Warehouse 1,0,0
offer47,Video King MER000002 Warehouse 1,0,0
offer48,Video King MER000002 Warehouse 1,0,0
offer49,Budget Cameras MER000005 Warehouse 1,0,0
offer50,Budget Cameras MER000005 Warehouse 1,0,0
offer51,Budget Cameras MER000005 Warehouse 1,0,0
offer52,Budget Cameras MER000005 Warehouse 1,0,0
offer53,Budget Cameras MER000005 Warehouse 1,0,0
offer54,Budget Cameras MER000005 Warehouse 1,0,0
offer55,Budget Cameras MER000005 Warehouse 1,0,0
offer56,Budget Cameras MER000005 Warehouse 1,0,0
offer57,Budget Cameras MER000005 Warehouse 1,0,0
offer58,Budget Cameras MER000005 Warehouse 1,0,0
offer59,Budget Cameras MER000005 Warehouse 1,0,0
offer60,Budget Cameras MER000005 Warehouse 1,0,0
offer61,Budget Cameras MER000005 Warehouse 1,0,0
offer62,Budget Cameras MER000005 Warehouse 1,0,0
offer63,Budget Cameras MER000005 Warehouse 1,0,0
offer64,Budget Cameras MER000005 Warehouse 1,0,0
offer65,Budget Cameras MER000005 Warehouse 1,0,0
offer66,Budget Cameras MER000005 Warehouse 1,0,0
offer67,Budget Cameras MER000005 Warehouse 1,0,0
offer68,Budget Cameras MER000005 Warehouse 1,0,0
offer69,Budget Cameras MER000005 Warehouse 1,0,0
offer70,Budget Cameras MER000005 Warehouse 1,0,0
offer71,Budget Cameras MER000005 Warehouse 1,0,0
offer72,Budget Cameras MER000005 Warehouse 1,0,0
offer73,Budget Cameras MER000005 Warehouse 1,0,0
offer74,Budget Cameras MER000005 Warehouse 1,0,0
offer75,Budget Cameras MER000005 Warehouse 1,0,0
offer76,Budget Cameras MER000005 Warehouse 1,0,0
offer77,Budget Cameras MER000005 Warehouse 1,0,0
offer78,Budget Cameras MER000005 Warehouse 1,0,0
offer79,Budget Cameras MER000005 Warehouse 1,0,0
offer80,Budget Cameras MER000005 Warehouse 1,0,0
offer81,Budget Cameras MER000005 Warehouse 1,0,0
offer82,Budget Cameras MER000005 Warehouse 1,0,0
offer83,Budget Cameras MER000005 Warehouse 1,0,0
offer84,Budget Cameras MER000005 Warehouse 1,0,0
offer85,Budget Cameras MER000005 Warehouse 1,0,0
offer86,Budget Cameras MER000005 Warehouse 1,0,0
offer87,Budget Cameras MER000005 Warehouse 1,0,0
offer88,Budget Cameras MER000005 Warehouse 1,0,0
offer89,Budget Cameras MER000005 Warehouse 1,0,0
offer90,Sony Experts MER000006 Warehouse 1,0,0
offer91,Sony Experts MER000006 Warehouse 1,0,0
offer92,Sony Experts MER000006 Warehouse 1,0,0
offer93,Sony Experts MER000006 Warehouse 1,0,0
offer94,Sony Experts MER000006 Warehouse 1,0,0
offer95,Sony Experts MER000006 Warehouse 1,0,0
offer96,Sony Experts MER000006 Warehouse 1,0,0
offer97,Sony Experts MER000006 Warehouse 1,0,0
offer98,Sony Experts MER000006 Warehouse 1,0,0
offer99,Sony Experts MER000006 Warehouse 1,0,0
offer100,Sony Experts MER000006 Warehouse 1,0,0
offer101,Sony Experts MER000006 Warehouse 1,0,0
offer102,Sony Experts MER000006 Warehouse 1,0,0
offer103,Sony Experts MER000006 Warehouse 1,0,0
offer169,Sony Experts MER000006 Warehouse 1,0,0
offer170,Sony Experts MER000006 Warehouse 1,0,0
offer171,Sony Experts MER000006 Warehouse 1,0,0
offer172,Sony Experts MER000006 Warehouse 1,0,0
offer173,Sony Experts MER000006 Warehouse 1,0,0
offer348,Sony Experts MER000006 Warehouse 1,0,0
offer349,Sony Experts MER000006 Warehouse 1,0,0
offer350,Sony Experts MER000006 Warehouse 1,0,0
offer351,Sony Experts MER000006 Warehouse 1,0,0
offer352,Sony Experts MER000006 Warehouse 1,0,0
offer353,Sony Experts MER000006 Warehouse 1,0,0
offer354,Sony Experts MER000006 Warehouse 1,0,0
offer355,Sony Experts MER000006 Warehouse 1,0,0
offer356,Sony Experts MER000006 Warehouse 1,0,0
offer357,Sony Experts MER000006 Warehouse 1,0,0
offer358,Sony Experts MER000006 Warehouse 1,0,0
offer359,Sony Experts MER000006 Warehouse 1,0,0
offer360,Sony Experts MER000006 Warehouse 1,0,0
