"Back to list","Zurück zu Liste"
"Back to Offers","Zurück zu Angeboten"
"Canceled amount","Stornierter Betrag"
"Create Customer","Kunde erstellen"
"Create Offer","Angebot erstellen"
"Customer Name",Kundenname
"Customer name",Kundenname
"Customer Price",Kundenpreis
"Customer Reference",Kundenreferenz
"Date of Birth",Geburtsdatum
Discount,Rabatt
"Discount (in %)","Rabatt (in %)"
"Edit Offer","Angebot bearbeiten"
"Edit Offer:","Angebot bearbeiten:"
Email,E-Mail
Fee,Gebühr
"Final Product Price",Endproduktpreis
"GRAND TOTAL",Gesamtsumme
"Grand total",Gesamtsumme
"Included tax amount","Enthaltener Steuerbetrag"
"Item Quantity",Artikelmenge
"Item Total","Artikel Gesamt"
"No customer reference","Keine Kundenreferenz"
"Offer Data",Angebotsdaten
"Offer date",Angebotsdatum
"Offer fee",Angebotsgebühr
"Offer ID",Angebots-ID
"Offer state",Angebotszustand
"Offer Status",Angebotsstatus
Option,Option
"Order Overview for Order","Auftragsübersicht zum Auftrag"
"Overview of Offers",Angebotsübersicht
Product,Produkt
"Purchasing Price",Einkaufspreis
Quantity,Menge
Reload,"Neu laden"
Save,Speichern
Shipment,Versand
Sku,SKU
"Sub total",Zwischensumme
"Submit an Offer","Angebot abgeben"
Total,Gesamtsumme
"Unit Price",Stückpreis
"Variant Details",Variantendetails
"View Offer:","Angebot ansehen:"
"Voucher discounts",Gutschein-Rabatte
