company_user_key,customer_reference,company_key,business_unit_key,is_default
Otto--1,DE--8,Ottom_ltd,Ottom_HQ,
Otto--2,DE--9,Ottom_ltd,Sales_Department,
Otto--3,DE--10,Ottom_ltd,Supplier_Department,
Otto--4,DE--11,Ottom_ltd,Ottom_store_Berlin,
Otto--5,DE--12,Ottom_ltd,Ottom_store_Oslo,
Otto--6,DE--13,Ottom_ltd,Ottom_store_London,
Rif--1,DE--14,27_Rif_Group,27_Rif_HQ,
Rif--2,DE--15,27_Rif_Group,27_Rif_Barcelona,
Rif--3,DE--16,27_Rif_Group,27_Rif_Zurich,
Rif--4,DE--17,27_Rif_Group,27_Rif_Zurich_restaurant,
Rif--5,DE--18,27_Rif_Group,27_Rif_Zurich_bakery,
Rif--6,DE--19,27_Rif_Group,27_Rif_Berlin,
Rif--7,DE--20,27_Rif_Group,27_Rif_HR department,
Rif--8,DE--21,27_Rif_Group,27_Rif_HR department,
